Storage modulus,Loss modulus,Step time
8.17E-04,2.16E-05,8.897
8.20E-04,2.14E-05,8.947
8.20E-04,1.69E-05,8.997
8.18E-04,2.12E-05,9.047
8.24E-04,2.18E-05,9.097
8.25E-04,2.06E-05,9.147
8.23E-04,1.99E-05,9.197
8.23E-04,2.08E-05,9.247
8.23E-04,2.15E-05,9.297
8.26E-04,2.17E-05,9.347
8.24E-04,1.85E-05,9.397
8.22E-04,2.34E-05,9.447
8.27E-04,2.19E-05,9.497
8.25E-04,2.30E-05,9.547
8.28E-04,2.29E-05,9.597
8.21E-04,2.30E-05,9.647
8.20E-04,2.63E-05,9.697
8.21E-04,2.13E-05,9.747
8.19E-04,2.47E-05,9.797
8.23E-04,1.95E-05,9.847
8.21E-04,2.14E-05,9.897
8.25E-04,2.18E-05,9.947
8.26E-04,1.95E-05,9.997
8.23E-04,2.44E-05,10.047
8.26E-04,2.36E-05,10.097
8.23E-04,2.23E-05,10.147
8.21E-04,2.31E-05,10.197
8.21E-04,2.28E-05,10.247
8.18E-04,2.25E-05,10.297
8.19E-04,2.56E-05,10.347
8.14E-04,3.79E-05,10.397
7.80E-04,1.37E-04,10.447
7.16E-04,1.20E-03,10.497
3.13E-03,4.27E-03,10.547
7.24E-03,8.95E-03,10.597
0.0184469,-0.0112981,10.647
0.0601042,-0.0298751,10.697
0.175254,0.0736186,10.747
0.172904,0.162946,10.797
0.317539,0.170625,10.847
0.445501,0.115092,10.897
0.552872,0.097563,10.946
0.654361,0.161359,10.996
0.752141,0.175136,11.046
0.850232,0.0404454,11.096
0.941118,0.112788,11.146
1.0203,0.106624,11.196
0.948381,0.314852,11.246
0.547895,0.500818,11.296
0.283809,0.380584,11.346
0.140758,0.294133,11.396
0.284712,0.225037,11.446
0.304723,-8.58E-03,11.496
0.318629,0.0250002,11.546
0.316902,0.0259888,11.596
0.320334,0.0299109,11.646
0.325944,0.0340946,11.696
0.332311,0.0388434,11.746
0.338524,0.0430712,11.796
0.344438,0.046909,11.846
0.34995,0.0503293,11.896
0.354503,0.0532185,11.946
0.357655,0.0559512,11.996
0.360921,0.0581844,12.046
0.363571,0.0608519,12.096
0.365772,0.0626602,12.146
0.366922,0.0649009,12.196
0.36835,0.067125,12.246
0.369414,0.0698778,12.296
0.370367,0.0720058,12.346
0.370849,0.0744396,12.396
0.371875,0.0763984,12.446
0.373152,0.0785839,12.496
0.374726,0.0803251,12.546
0.37672,0.0819297,12.596
0.378539,0.0830653,12.646
0.381108,0.0840981,12.696
0.383787,0.084921,12.746
0.386652,0.0854078,12.796
0.389209,0.08555,12.846
0.392074,0.0857066,12.896
0.394846,0.0855866,12.946
0.397574,0.0851777,12.996
0.39995,0.084811,13.046
0.402419,0.084223,13.096
0.404728,0.0837016,13.146
0.406887,0.0830227,13.196
0.408633,0.0822723,13.246
0.41061,0.0814847,13.296
0.412481,0.0808064,13.346
0.414275,0.0800509,13.396
0.415902,0.0791394,13.446
0.417752,0.0778704,13.496
0.419629,0.0767404,13.546
0.42139,0.0756174,13.596
0.422883,0.0745307,13.646
0.424573,0.0731621,13.696
0.426312,0.0719933,13.746
0.427941,0.070628,13.796
0.429308,0.0693404,13.846
0.4308,0.0679366,13.896
0.432272,0.0668205,13.946
0.433641,0.0655061,13.996
0.434724,0.0642781,14.046
0.436016,0.0630464,14.095
0.43725,0.0618317,14.145
0.438407,0.0607098,14.195
0.439566,0.0595587,14.245
0.440386,0.0583228,14.295
0.441421,0.0574111,14.345
0.442383,0.0563169,14.395
0.44336,0.0553953,14.445
0.444103,0.0543426,14.495
0.445049,0.0533553,14.545
0.445957,0.0526261,14.595
0.44683,0.0516838,14.645
0.447673,0.0506173,14.695
0.448273,0.0498654,14.745
0.449042,0.0490711,14.795
0.44981,0.0482111,14.845
0.450531,0.0476818,14.895
0.451009,0.0466406,14.945
0.45173,0.0458793,14.995
0.452403,0.0453316,15.045
0.453046,0.0446932,15.095
0.453652,0.0439069,15.145
0.454039,0.0432324,15.195
0.454645,0.0427461,15.245
0.455234,0.0421009,15.295
0.455782,0.0415386,15.345
0.456168,0.0410446,15.395
0.456675,0.040351,15.445
0.457222,0.0398758,15.495
0.457684,0.0392505,15.545
0.458148,0.0388566,15.595
0.458278,0.0383647,15.645
0.458742,0.0379076,15.695
0.459207,0.0374283,15.745
0.459659,0.0368418,15.795
0.460096,0.0366228,15.845
0.460471,0.0361729,15.895
0.460848,0.035558,15.945
0.461242,0.035398,15.995
0.461611,0.0349459,16.045
0.462007,0.0344576,16.095
0.462267,0.0341857,16.145
0.462568,0.0340061,16.195
0.462874,0.033561,16.245
0.463212,0.0330375,16.295
0.463429,0.0328954,16.345
0.463755,0.0323651,16.395
0.464142,0.0323293,16.445
0.464435,0.0319616,16.495
0.464702,0.0315368,16.545
0.464816,0.0313343,16.595
0.46511,0.0311264,16.645
0.465358,0.0308151,16.695
0.465619,0.0305864,16.745
0.465859,0.0303624,16.795
0.466147,0.0301063,16.845
0.466417,0.0298564,16.895
0.466623,0.0296156,16.945
0.466825,0.0293889,16.995
0.467055,0.0291934,17.045
0.467214,0.028981,17.095
0.467376,0.0287185,17.145
0.467569,0.0286991,17.194
0.467546,0.0284073,17.244
0.467734,0.0281347,17.294
0.467934,0.0281514,17.344
0.468169,0.0279128,17.394
0.468377,0.0276752,17.444
0.468564,0.0274845,17.494
0.468715,0.0271901,17.544
0.468896,0.0272983,17.594
0.469032,0.0269635,17.644
0.469136,0.0267433,17.694
0.469255,0.0266765,17.744
0.469368,0.0266742,17.794
0.469399,0.0265667,17.844
0.469527,0.0261821,17.894
0.469694,0.0261117,17.944
0.469814,0.0260649,17.994
0.469924,0.0258092,18.044
0.469955,0.025856,18.094
0.470059,0.0256694,18.144
0.470213,0.0255868,18.194
0.470324,0.0253746,18.244
0.470433,0.0255086,18.294
0.470564,0.0252892,18.344
0.470652,0.0249873,18.394
0.470773,0.0248934,18.444
0.470912,0.0249371,18.494
0.470995,0.0247047,18.544
0.47107,0.0246214,18.594
0.471198,0.0245789,18.644
0.471265,0.0244376,18.694
0.471318,0.024442,18.744
0.471368,0.0243012,18.794
0.471402,0.0243152,18.844
0.471243,0.0241743,18.894
0.471252,0.0240243,18.944
0.471336,0.0242001,18.994
0.471375,0.0240176,19.044
0.47145,0.0237829,19.094
0.471593,0.0238294,19.144
0.471688,0.023729,19.194
0.471814,0.0235508,19.244
0.471898,0.023427,19.294
0.471975,0.0236976,19.344
0.47194,0.0234155,19.394
0.471935,0.0232571,19.444
0.471918,0.0233526,19.494
0.4718,0.0232486,19.544
0.471717,0.0231889,19.594
0.471715,0.023357,19.644
0.471791,0.0232873,19.694
0.471867,0.0232024,19.744
0.471912,0.0230625,19.794
0.471897,0.0229144,19.844
0.471831,0.0229302,19.894
0.471763,0.0230296,19.944
0.471597,0.0228813,19.994
0.471577,0.0229677,20.044
0.471558,0.0229911,20.094
0.47143,0.0230333,20.144
0.471437,0.0228767,20.194
0.471476,0.0227207,20.244
0.471353,0.0229273,20.294
0.471391,0.0228681,20.343
0.471317,0.0226746,20.393
0.471255,0.022712,20.443
0.47132,0.0227509,20.493
0.471245,0.0225679,20.543
0.471321,0.0226103,20.593
0.471194,0.0221361,20.643
0.471225,0.0229997,20.693
0.471039,0.0228852,20.743
0.470984,0.0220589,20.793
0.471121,0.022587,20.843
0.471091,0.0227079,20.893
0.471068,0.0222799,20.943
0.471011,0.022505,20.993
0.470956,0.0224436,21.043
0.470837,0.0223709,21.093
0.470702,0.0224891,21.143
0.470719,0.0224775,21.193
0.470639,0.0223528,21.243
0.470568,0.0223815,21.293
0.470549,0.0225389,21.343
0.470437,0.0225224,21.393
0.470361,0.0223777,21.443
0.47034,0.022391,21.493
0.470195,0.02245,21.543
0.46966,0.0225431,21.593
0.469296,0.0229645,21.643
0.469089,0.0230648,21.693
0.4687,0.0229788,21.743
0.468254,0.0231956,21.793
0.46767,0.023615,21.843
0.467089,0.0238176,21.893
0.467046,0.0236337,21.943
0.466934,0.0231915,21.993
0.466612,0.0233383,22.043
0.465787,0.023976,22.093
0.46499,0.0241893,22.143
0.464426,0.0240295,22.193
0.464039,0.0243067,22.243
0.464009,0.0240887,22.293
0.464019,0.0242701,22.343
0.463559,0.0244248,22.393
0.463355,0.0245958,22.443
0.463417,0.0247022,22.493
0.463056,0.0247422,22.543
0.462968,0.0242971,22.593
0.46307,0.0244065,22.643
0.463212,0.0243118,22.693
0.463221,0.0242526,22.743
0.463195,0.0243203,22.793
0.463064,0.0242149,22.843
0.462893,0.0244495,22.893
0.462831,0.024445,22.943
0.462687,0.0245726,22.993
0.462442,0.0248762,23.043
0.462003,0.0251021,23.093
0.461486,0.0251514,23.143
0.461233,0.0252691,23.193
